KEGG_ID, PubChem_ID
C00259, 439195
C00140, 439174
C00818, 607
C00042, 1110
C00124, 6036
C00049, 5960
C00148, 145742
C00133, 71080
C01083, 7427
C00159, 18950
C01697, 453
C00740, 71077
C00794, 453
C00116, 753
C01019, 17106
C00191, 94715
C00257, 604
C00093, 439162
C00181, 135191
C01432, 612
C00058, 284
C00392, 453
C00025, 33032
C00092, 5958
C03383, 439994
C00497, 92824
C00121, 5779
C11624, 443314
C00507, 25310
C00095, 439163
C00033, 176
C00031, 5793
C00208, 439186
C05402, 440658
C00214, 5789
C00152, 6267
C00402, 83887
C03752, 235915
C00583, 1030
C00026, 51
C00109, 58
C03619, 94214
C00243, 84571
C07064, 11333
C00089, 5988
C00299, 6029
C00064, 5961
C00552, 447315
C00103, 439165
C00085, 439160
C11625, 5281955
C05984, 440864
C00474, 827
C01835, 439586
C00559, 13730
C00212, 60961
C02871
C00158, 311
C00137, 892
C00820, 69435
C00122, 444972
C00163, 1032
C01807, 607
C00160, 757
C00048, 760
C00185, 439178
C00294, 6021
C00065, 5951
C00188, 6288
C00041, 5950
C00164, 96
C00645, 439281
C00149, 222656
C00642, 127
C05593, 12122
C00483, 5610
C06468, 441036
C01508, 439508
D01791, 636367
C00022, 1060
C01115, 439405
C00333, 439215
C05332, 1001
C00189, 700
C00635
C00721
C01498
C00182, 439177, 4471484
C00368
C00771, 439306
C00464
C00714
C01074
C00270, 439197
C01487, 439507
C08325, 656516
C00216, 6902
C01904, 827
C00532, 439255
C06186, 440936
C01801, 439576
C00503, 8998
C01018, 19466
C08240, 441422
C08243, 92817
G00275
C08350, 441478
C01742, 439559
C00492, 439242
C01451, 439503
C00247, 439192
C01613, 91455, 439531, 4287569
C00795, 439312
G03588
C00379, 827
C00334, 119
C00431, 138
C00246, 264
C01571, 2969
C01585, 8892
C02226, 643798
C00815, 1081
C00329, 439213
C00805, 338
C00156, 135
C01089, 92135
C00989, 10413
C00567
C00490, 811
C01062, 157
C00383, 867
C00209, 971
C01990, 439620
C00296, 6508
C08277, 5192
C02107, 439655
C00898, 875
C06244, 178
C00624, 70914
C00062, 6322
C00037, 750
C00135, 6274
C00263, 12647
C01015, 69248
C00407, 6306
C00123, 6106
C00047, 5962
C00073, 6137
C00077, 6262
C00079, 6140
C02238
C00183, 6287
C00487, 85
C04227, 440266
C00134, 1045
C00184, 670
C03044, 225936
C00741, 650
C00466, 179
C00014, 222
C00088, 24529
C00244, 944
C00086, 1176
C06555, 7913
C00097, 5862
C00078, 6305
C00082, 6057
C01905, 439600
C00217, 23327
C00739, 57449
C06417, 71563
C00327, 9750
C00192, 787
C00218, 6329
C00797, 6341
C12511
C00179, 199
C00388, 774
C00488, 713
C02262, 24154
C03570, 440049
C00147, 190
C00475, 6175
C00380, 597
C00242, 764
C00387, 6802
C00178, 1135
C00106, 1174
C00385, 1188
C01762, 64959
C00366, 1175
C07599, 4644
C01551, 204
C02261, 439691
C02378, 564
C01826, 65098
C05035
C00009, 1004
C00013, 1023
C02466, 510
C00536, 983
C00946, 94136
C01367, 41211
C00020, 6083
C00575, 6076
C02979, 2526
C00169, 278
C00631, 439278
C00197, 439183
C06193, 8339
C00144, 6804
C00942, 24316
C00074, 1005
C00988, 529
C06369, 440992
C00352, 439217
C03104, 101544
C05822, 66535
C00055, 6131
C00941, 19236
C00636, 439279
C00275, 439198
C05945, 92150
C02532, 439747
C01005, 68841
C03031, 101609
C01368, 101543
C00105, 6030
C02355, 439715
C06501, 30819
C02305, 9548602
C00588, 1014
C00346, 1015
C05682, 546
C03557, 339
C00364, 9700
C01204, 890
C00059, 1118
C00320, 439208
C02084, 26259
C00793, 92851
