smiles,synergy
[Cl-].[Li+],-25.805999999999997
NC(CO)C(=O)O,-23.943
COC1CC(OC2C(C)C(=O)OC(C)C(C)C(O)C(C)C(=O)C3(CO3)CC(C)C(OC3OC(C)CC(N(C)C)C3O)C2C)OC(C)C1O,-19.397000000000002
CNC1C(O)C(NC)C2OC3(O)C(=O)CC(C)OC3OC2C1O,-18.835
COC1C=COC2(C)Oc3c(C)c(O)c4c(O)c(cc(OCC(=O)O)c4c3C2=O)NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C,-17.659000000000002
CCc1cc(C(N)=S)ccn1,-17.59
COC1CC(OC2C(C)C(=O)OC(C)C(C)C(O)C(C)C(=O)C3(CO3)CC(C)C(OC3OC(C)CC(N(C)C)C3O)C2C)OC(C)C1O,-16.21
O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,-15.128
CNC1CC(N)C(O)C(OC2OC(CO)C(O)C3OC4(OC(C(N)CO)C(O)C(O)C4O)OC23)C1O,-14.402999999999999
Cl.N=C(N)N,-14.319
O=C(O)C=Cc1ccccc1,-14.130999999999998
OB(O)O,-13.842
NC(CC(=O)O)C(=O)NO,-13.787
O=S(=O)([O-])[O-].O=S(=O)([O-])[O-].O=S(=O)([O-])[O-].[Al+3].[Al+3],-12.727
[Fe],-11.946
CCCC1CC(C(=O)NC(C(C)O)C2OC(SC)C(O)C(O)C2O)N(C)C1,-11.603
NC1CONC1=O,-11.194
CSCCC(N)C(=O)NO,-9.836
CC1NC(=O)C(N)CNC(=O)C(C2CCN=C(N)N2)NC(=O)C(=CNC(N)=O)NC(=O)C(CNC(=O)CC(N)CCCN)NC1=O.NCCCC(N)CC(=O)NCC1NC(=O)C(CO)NC(=O)C(N)CNC(=O)C(C2CCN=C(N)N2)NC(=O)C(=CNC(N)=O)NC1=O,-9.571
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O,-9.29
CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,-9.148
CN(C)C1C(=O)C(=C(N)O)C(=O)C2(O)C(=O)C3=C(O)c4c(O)cccc4C(C)(O)C3C(O)C12,-8.975
NC(CO)C(=O)O,-8.481
N.N.N.N.N.N.[Cl-].[Cl-].[Cl-].[Co+3],-8.341000000000001
N.N.N.N.N.N.N.N.N.N.N.N.N.N.[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[O-2].[O-2].[Ru+5].[Ru+5].[Ru],-8.016
[Mn],-7.3229999999999995
CN(C)C1C(=O)C(=C(O)NCN2CCCC2)C(=O)C2(O)C(=O)C3=C(O)c4c(O)cccc4C(C)(O)C3CC12.CN(C)C1C(=O)C(=C(O)NCN2CCCC2)C(=O)C2(O)C(=O)C3=C(O)c4c(O)cccc4C(C)(O)C3CC12.O.O.O.O=[N+]([O-])O.O=[N+]([O-])O,-7.204
Oc1ccccc1-c1ccccc1,-6.973
O=C(O)CCCCC1CCSS1,-6.837999999999999
Nc1ccc(S(=O)(=O)Nc2ccc(Cl)nn2)cc1,-6.625
COc1ccc(CO)cc1OC,-6.341
O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1,-6.167999999999999
CCCCCCCC(=O)O,-5.98
Nc1ncn[nH]1,-5.956
O=B[O-].[Na+],-5.891
Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,-5.62
CC(=O)OC1CC2(C)C(CC(O)C3C4(C)CCC(O)C(C)C4CCC32C)C1=C(CCC=C(C)C)C(=O)O,-5.557
COC1C(OC(C)=O)CC(=O)OC(C)CC=CC=CC(O)C(C)CC(CC=O)C1OC1OC(C)C(OC2CC(C)(O)C(OC(=O)CC(C)C)C(C)O2)C(N(C)C)C1O,-5.511
[Ni],-5.382000000000001
O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,-4.886
COC1C(O)CC(=O)OC(C)CC=CC=CC(OC2CCC(N(C)C)C(C)O2)C(C)CC(CC=O)C1OC1OC(C)C(OC2CC(C)(O)C(O)C(C)O2)C(N(C)C)C1O,-4.836
CN(C)C1C(=O)C(C(N)=O)=C(O)C2(O)C(=O)C3=C(O)c4c(O)ccc(Cl)c4C(O)C3CC12,-4.749
CN(C)C1C(=O)C(=C(N)O)C(=O)C2(O)C(=O)C3=C(O)c4c(O)ccc(Cl)c4C(C)(O)C3CC12,-4.673
CN(CCC(N)CC(=O)NC1C=CC(n2ccc(N)nc2=O)OC1C(=O)O)C(=N)N,-4.5280000000000005
O=[N+]([O-])c1ccc(-[n+]2nc(-c3ccccc3)nn2-c2ccc(I)cc2)cc1.[Cl-],-4.445
CN(C)c1ccc(O)c2c1CC1CC3C(N(C)C)C(=O)C(=C(N)O)C(=O)C3(O)C(=O)C1=C2O,-4.157
[Cu],-4.155
CS(=O)(=O)c1ccc(C(O)C(CO)NC(=O)C(Cl)Cl)cc1,-4.125
CC1c2cccc(O)c2C(O)=C2C(=O)C3(O)C(=O)C(=C(N)O)C(=O)C(N(C)C)C3C(O)C21,-3.772
Nc1ccc(S(N)(=O)=O)cc1,-3.7489999999999997
Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,-3.6180000000000003
